7.4307	9.772501210000001e-46 
7.4478	9.270198090000002e-46 
7.465	8.794783360000002e-46 
7.4822	8.344587690000001e-46 
7.4994	7.918596e-46 
7.5167	7.51582225e-46 
7.5341	7.134241e-46 
7.5514	6.773526759999999e-46 
7.5689	6.4312959999999995e-46 
7.5863	6.1078179599999996e-46 
7.6038	5.80087225e-46 
7.6213	5.510756249999999e-46 
7.6389	5.23540161e-46 
7.6565	4.974684159999999e-46 
7.6742	4.72758049e-46 
7.6919	4.493552040000001e-46 
7.7096	4.27166224e-46 
7.7274	4.06143409e-46 
7.7452	3.861618010000001e-46 
7.7631	3.6725889600000006e-46 
7.781	3.493161e-46 
7.7989	3.32296441e-46 
7.8169	3.16163961e-46 
7.8349	3.0084902500000003e-46 
7.853	2.8632024100000003e-46 
7.8711	2.7254708099999997e-46 
7.8893	2.5943544900000003e-46 
7.9074	2.47024089e-46 
7.9257	2.35223569e-46 
7.944	2.24011089e-46 
7.9623	2.1339366399999998e-46 
7.9806	2.03290564e-46 
7.999	1.93682889e-46 
8.0175	1.84579396e-46 
8.036	1.75933696e-46 
8.0545	1.677025e-46 
8.0731	1.59870736e-46 
8.0917	1.5244840899999998e-46 
8.1104	1.45371249e-46 
8.1291	1.3865062500000001e-46 
8.1478	1.3227300100000002e-46 
8.1666	1.2620275599999999e-46 
8.1854	1.20428676e-46 
8.2043	1.1493984100000002e-46 
8.2232	1.09704676e-46 
8.2422	1.0473475599999999e-46 
8.2612	9.999800001e-47 
8.2802	9.549589284e-47 
8.2993	9.121014016e-47 
8.3185	8.712915649000001e-47 
8.3377	8.324555121000001e-47 
8.3569	7.954677721e-47 
8.3762	7.602444863999999e-47 
8.3955	7.267051009e-47 
8.4148	6.947555904000001e-47 
8.4342	6.643228036e-47 
8.4537	6.353205848999999e-47 
8.4732	6.076826115999999e-47 
8.4927	5.813452516e-47 
8.5123	5.562474723999999e-47 
8.5319	5.3231616e-47 
8.5516	5.095104400000001e-47 
8.5713	4.877625599999999e-47 
8.5911	4.670218921000001e-47 
8.6109	4.472399376e-47 
8.6308	4.2837025e-47 
8.6507	4.1036836e-47 
8.6706	3.9319170250000005e-47 
8.6906	3.7679954560000005e-47 
8.7106	3.611529216e-47 
8.7307	3.462263281e-47 
8.7509	3.3197186890000003e-47 
8.771	3.1835549289999997e-47 
8.7913	3.0536676e-47 
8.8115	2.929515625e-47 
8.8319	2.8110143610000003e-47 
8.8522	2.6977636000000005e-47 
8.8726	2.589486769e-47 
8.8931	2.486119321e-47 
8.9136	2.3872996e-47 
8.9342	2.292877456e-47 
8.9548	2.2026126240000005e-47 
8.9754	2.1162760090000002e-47 
8.9961	2.0337394090000001e-47 
9.0169	1.954789369e-47 
9.0377	1.8793092009999997e-47 
9.0585	1.8071001000000003e-47 
9.0794	1.7379727209999997e-47 
9.1003	1.6718285440000002e-47 
9.1213	1.6085714490000003e-47 
9.1423	1.5480290250000002e-47 
9.1634	1.4900372009999998e-47 
9.1846	1.4344398759999997e-47 
9.2057	1.3813115560000003e-47 
9.227	1.330352676e-47 
9.2482	1.2815684009999997e-47 
9.2696	1.2348196e-47 
9.2909	1.190043009e-47 
9.3124	1.1471768999999998e-47 
9.3338	1.106028049e-47 
9.3554	1.0666102809999999e-47 
9.3769	1.0287414759999999e-47 
9.3986	9.925020159999999e-48 
9.4202	9.57716809e-48 
9.442	9.244032159999999e-48 
9.4637	8.923961290000001e-48 
9.4856	8.61657316e-48 
9.5074	8.32207104e-48 
9.5294	8.038926090000001e-48 
9.5513	7.767369e-48 
9.5734	7.506504040000001e-48 
9.5954	7.256558439999999e-48 
9.6176	7.015611690000001e-48 
9.6397	6.78498304e-48 
9.662	6.56281924e-48 
9.6842	6.34939204e-48 
9.7066	6.14444944e-48 
9.729	5.94725769e-48 
9.7514	5.75760025e-48 
9.7739	5.57573769e-48 
9.7964	5.4005112099999995e-48 
9.819	5.231741289999999e-48 
9.8417	5.0697025599999994e-48 
9.8643	4.913315560000001e-48 
9.8871	4.7633062500000006e-48 
9.9099	4.6186308100000004e-48 
9.9327	4.47914896e-48 
9.9557	4.34514025e-48 
9.9786	4.216040890000001e-48 
10.002	4.0917198400000006e-48 
10.025	3.972049e-48 
10.048	3.85651044e-48 
